run_id,patient_id,condition,repetition,run,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,drift_score
20260522_224913,patient_28,filler_control,5,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.34615384615384615
20260522_224913,patient_28,section_redundancy,10,1,0.25,0.2222222222222222,0.23529411764705882,7,6,0.861904761904762
20260522_224913,patient_28,filler_control,10,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.45726495726495725
20260522_224913,patient_28,section_redundancy,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.34615384615384615
20260522_224913,patient_28,filler_control,16,1,0.5,0.4444444444444444,0.47058823529411764,5,4,0.34615384615384615
20260522_224913,patient_29,section_redundancy,1,1,0.2,0.2,0.20000000000000004,4,4,0.4444444444444444
20260522_224913,patient_29,filler_control,1,1,0.2,0.2,0.20000000000000004,4,4,0.4444444444444444
20260522_224913,patient_29,section_redundancy,5,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224913,patient_29,filler_control,5,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224913,patient_29,section_redundancy,10,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224913,patient_29,filler_control,10,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224913,patient_29,section_redundancy,16,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224913,patient_29,filler_control,16,1,0.6,0.6,0.6,2,2,0.7301587301587301
20260522_224913,patient_30,section_redundancy,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224913,patient_30,filler_control,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224913,patient_30,section_redundancy,5,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224913,patient_30,filler_control,5,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224913,patient_30,section_redundancy,10,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224913,patient_30,filler_control,10,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224913,patient_30,section_redundancy,16,1,0.25,0.2857142857142857,0.26666666666666666,5,6,0.6730769230769231
20260522_224913,patient_30,filler_control,16,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,4,4,0.36363636363636365
20260522_224913,patient_31,section_redundancy,1,1,0.2857142857142857,0.2222222222222222,0.25,7,5,0.4285714285714286
20260522_224913,patient_31,filler_control,1,1,0.25,0.2222222222222222,0.23529411764705882,7,6,0.6833333333333333
