path,prompt_tokens,completion_tokens,total_tokens,latency_s,ok,status_code
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_2x/run_01,461,133,594,4.119301,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_2x/run_02,461,133,594,4.416331,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_2x/run_03,461,133,594,3.832258,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_1x/run_01,353,133,486,6.432645,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_1x/run_02,353,133,486,7.664862,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_1x/run_03,353,133,486,4.01644,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_16x/run_01,1863,136,1999,4.764302,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_16x/run_02,1863,136,1999,4.096451,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_16x/run_03,1863,136,1999,4.281627,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_10x/run_01,1281,136,1417,3.596671,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_10x/run_02,1281,136,1417,3.368445,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_03/rep_10x/run_03,1281,136,1417,4.338072,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_5x/run_01,731,112,843,6.242609,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_5x/run_02,731,112,843,4.935032,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_5x/run_03,731,112,843,4.325747,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_32x/run_01,3280,157,3437,12.326252,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_32x/run_02,3280,172,3452,17.694435,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_32x/run_03,3280,157,3437,9.627626,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_2x/run_01,439,112,551,7.607984,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_2x/run_02,439,112,551,7.2035,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_2x/run_03,439,112,551,6.878002,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_1x/run_01,340,112,452,7.431425,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_1x/run_02,340,112,452,7.002634,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_1x/run_03,340,112,452,6.503496,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_16x/run_01,1748,112,1860,4.225995,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_16x/run_02,1748,112,1860,3.831705,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_16x/run_03,1748,112,1860,66.638697,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_10x/run_01,1190,112,1302,3.926455,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_10x/run_02,1190,112,1302,4.547728,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_02/rep_10x/run_03,1190,112,1302,4.25287,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_5x/run_01,900,195,1095,11.743119,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_5x/run_02,900,195,1095,13.417742,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_5x/run_03,900,195,1095,15.519343,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_32x/run_01,4305,270,4575,14.963871,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_32x/run_02,4305,292,4597,13.08749,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_32x/run_03,4305,258,4563,15.01473,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_2x/run_01,522,124,646,7.110194,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_2x/run_02,522,124,646,7.571529,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_2x/run_03,522,124,646,6.71527,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_1x/run_01,396,201,597,9.239462,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_1x/run_02,396,201,597,10.741875,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_1x/run_03,396,201,597,10.995793,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_16x/run_01,2307,244,2551,15.148759,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_16x/run_02,2307,244,2551,114.146644,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_16x/run_03,2307,244,2551,15.281714,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_10x/run_01,1526,195,1721,9.804201,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_10x/run_02,1526,195,1721,11.981201,True,200
data/runs/full_pilot_control_20260520_235546/outputs/patient_01/rep_10x/run_03,1526,195,1721,10.084652,True,200
