run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,raw_valid_json,schema_match,repair_needed,extra_keys_count,missing_keys_count,malformed_json,markdown_fence_present,structural_drift_score,extracted_entities_n
20260520_235546,patient_06,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:43.169995,1,200,5.037489099999675,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:48.223355,1,200,4.6845023000000765,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:52.943293,1,200,4.3071546000001035,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:08:57.369351,1,200,5.535685199999989,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:02.923013,1,200,5.868745299999773,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:08.808444,1,200,5.553475799999887,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:15.232687,1,200,5.03715770000008,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:20.287118,1,200,6.552037299999938,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:26.855840,1,200,4.497110200000407,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:31.695062,1,200,12.106862399999955,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:43.819636,1,200,5.003186099999766,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:48.839943,1,200,4.053817799999706,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:09:53.590479,1,200,7.846966099999918,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:01.455193,1,200,8.215526800000134,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_06,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:09.683302,1,200,7.820387199999914,1,1,0,0,0,0,0,0.0,5
20260520_235546,patient_07,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:17.566775,1,200,4.707254399999783,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:22.292848,1,200,4.247010300000056,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:26.588536,1,200,4.06622279999965,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:30.753455,1,200,4.182219700000132,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:34.954147,1,200,4.222996100000273,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:39.192053,1,200,5.234986299999946,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:10:44.594191,1,200,19.640563700000257,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:04.257085,1,200,5.274041099999977,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:09.549205,1,200,4.957777499999793,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:14.772048,1,200,5.283911099999841,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:20.074971,1,200,5.617871700000251,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:25.709895,1,200,5.065651099999741,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:31.658441,1,200,5.312151000000085,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:36.988960,1,200,4.827814799999942,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:41.833146,1,200,3.472044200000255,1,1,0,0,0,0,0,0.0,7
20260520_235546,patient_07,32,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:45.670610,1,200,3.9977428000001964,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_07,32,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:49.681575,1,200,6.312366400000428,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_07,32,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:56.005957,1,200,3.6037215999999717,1,1,0,0,0,0,0,0.0,6
20260520_235546,patient_08,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:11:59.666466,1,200,6.806078600000092,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_08,1,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:12:06.485632,1,200,6.330410200000188,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_08,1,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:12:12.841579,1,200,6.549599300000409,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_08,2,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:12:19.465080,1,200,6.861389400000007,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_08,2,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:12:26.339970,1,200,6.2851573000002645,1,1,0,0,0,0,0,0.0,8
20260520_235546,patient_08,2,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-21T00:12:32.636834,1,200,6.352084999999988,1,1,0,0,0,0,0,0.0,8
