patient_id,repetition,F1_Nx,F1_1x,RSS
patient_78,16,0.4705882352941176,0.4705882352941176,0.0
patient_79,1,0.2,0.2,0.0
patient_79,5,0.2,0.2,0.0
patient_79,10,0.2,0.2,0.0
patient_79,16,0.2,0.2,0.0
patient_80,1,0.4285714285714285,0.4285714285714285,0.0
patient_80,5,0.4285714285714285,0.4285714285714285,0.0
patient_80,10,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_80,16,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_81,1,0.2352941176470588,0.2352941176470588,0.0
patient_81,5,0.125,0.2352941176470588,0.11029411764705879
patient_81,10,0.125,0.2352941176470588,0.11029411764705879
patient_81,16,0.125,0.2352941176470588,0.11029411764705879
patient_82,1,0.7142857142857143,0.7142857142857143,0.0
patient_82,5,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_82,10,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_82,16,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_83,1,0.4444444444444444,0.4444444444444444,0.0
patient_83,5,0.4444444444444444,0.4444444444444444,0.0
patient_83,10,0.4444444444444444,0.4444444444444444,0.0
patient_83,16,0.4444444444444444,0.4444444444444444,0.0
patient_84,1,0.6666666666666666,0.6666666666666666,0.0
patient_84,5,0.6666666666666666,0.6666666666666666,0.0
patient_84,10,0.6666666666666666,0.6666666666666666,0.0
patient_84,16,0.6666666666666666,0.6666666666666666,0.0
patient_85,1,0.3529411764705882,0.3529411764705882,0.0
patient_85,5,0.0,0.3529411764705882,0.3529411764705882
patient_85,10,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_85,16,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_86,1,0.6,0.6,0.0
patient_86,5,0.2,0.6,0.39999999999999997
patient_86,10,0.2,0.6,0.39999999999999997
patient_86,16,0.2,0.6,0.39999999999999997
patient_87,1,0.5714285714285714,0.5714285714285714,0.0
patient_87,5,0.5714285714285714,0.5714285714285714,0.0
patient_87,10,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_87,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_88,1,0.4705882352941176,0.4705882352941176,0.0
patient_88,5,0.4705882352941176,0.4705882352941176,0.0
patient_88,10,0.4705882352941176,0.4705882352941176,0.0
patient_88,16,0.4705882352941176,0.4705882352941176,0.0
patient_89,1,0.2,0.2,0.0
patient_89,5,0.2,0.2,0.0
patient_89,10,0.2,0.2,0.0
patient_89,16,0.2,0.2,0.0
patient_90,1,0.4285714285714285,0.4285714285714285,0.0
patient_90,5,0.4285714285714285,0.4285714285714285,0.0
patient_90,10,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_90,16,0.2666666666666666,0.4285714285714285,0.16190476190476188
patient_91,1,0.3529411764705882,0.3529411764705882,0.0
patient_91,5,0.125,0.3529411764705882,0.2279411764705882
patient_91,10,0.125,0.3529411764705882,0.2279411764705882
patient_91,16,0.125,0.3529411764705882,0.2279411764705882
patient_92,1,0.7142857142857143,0.7142857142857143,0.0
patient_92,5,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_92,10,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_92,16,0.1428571428571428,0.7142857142857143,0.5714285714285715
patient_93,1,0.4444444444444444,0.4444444444444444,0.0
patient_93,5,0.4444444444444444,0.4444444444444444,0.0
patient_93,10,0.4444444444444444,0.4444444444444444,0.0
patient_93,16,0.4444444444444444,0.4444444444444444,0.0
patient_94,1,0.6666666666666666,0.6666666666666666,0.0
patient_94,5,0.6666666666666666,0.6666666666666666,0.0
patient_94,10,0.6666666666666666,0.6666666666666666,0.0
patient_94,16,0.6666666666666666,0.6666666666666666,0.0
patient_95,1,0.3529411764705882,0.3529411764705882,0.0
patient_95,5,0.0,0.3529411764705882,0.3529411764705882
patient_95,10,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_95,16,0.1176470588235294,0.3529411764705882,0.23529411764705882
patient_96,1,0.6,0.6,0.0
patient_96,5,0.2,0.6,0.39999999999999997
patient_96,10,0.2,0.6,0.39999999999999997
patient_96,16,0.2,0.6,0.39999999999999997
patient_97,1,0.5714285714285714,0.5714285714285714,0.0
patient_97,5,0.5714285714285714,0.5714285714285714,0.0
patient_97,10,0.5714285714285714,0.5714285714285714,0.0
patient_97,16,0.2857142857142857,0.5714285714285714,0.2857142857142857
patient_98,1,0.4705882352941176,0.4705882352941176,0.0
patient_98,5,0.4705882352941176,0.4705882352941176,0.0
patient_98,10,0.4705882352941176,0.4705882352941176,0.0
patient_98,16,0.4705882352941176,0.4705882352941176,0.0
patient_99,1,0.2,0.2,0.0
patient_99,5,0.2,0.2,0.0
patient_99,10,0.2,0.2,0.0
patient_99,16,0.2,0.2,0.0
