run_id,patient_id,repetition,run,model,timestamp,ok,status_code,latency_s,micro_precision,micro_recall,micro_f1,omission_count,hallucination_count,extracted_entities_n,drift_vs_1x,drift_vs_gold,drift_score
20260522_155750,patient_05,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:18,1,200,4.158685499998683,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_05,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:22,1,200,2.7975531999982195,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_05,16,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:25,1,200,2.6207632000005106,0.375,0.3333333333333333,0.3529411764705882,6,5,8,0.0,0.7857142857142857,0.39285714285714285
20260522_155750,patient_06,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:27,1,200,2.969381099996099,0.2,0.2,0.2,4,4,5,0.0,0.8888888888888888,0.4444444444444444
20260522_155750,patient_06,5,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:30,1,200,3.4053870999996434,0.2,0.2,0.2,4,4,5,0.0,0.8888888888888888,0.4444444444444444
20260522_155750,patient_06,5,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:34,1,200,3.2517071000038413,0.2,0.2,0.2,4,4,5,0.0,0.8888888888888888,0.4444444444444444
20260522_155750,patient_06,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:37,1,200,2.489918899998884,0.2,0.2,0.2,4,4,5,0.5714285714285714,0.8888888888888888,0.7301587301587301
20260522_155750,patient_06,10,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:40,1,200,2.8295231999945827,0.2,0.2,0.2,4,4,5,0.5714285714285714,0.8888888888888888,0.7301587301587301
20260522_155750,patient_06,10,3,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:43,1,200,3.582579200003238,0.2,0.2,0.2,4,4,5,0.5714285714285714,0.8888888888888888,0.7301587301587301
20260522_155750,patient_06,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:47,1,200,2.3689100999981747,0.6,0.6,0.6,2,2,5,0.8888888888888888,0.5714285714285714,0.7301587301587301
20260522_155750,patient_06,16,2,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T16:00:49,1,200,1.8926179999980377,0.6,0.6,0.6,2,2,5,0.8888888888888888,0.5714285714285714,0.7301587301587301
