run_id,patient_id,repetition,run,model,timestamp,pdf_pages,character_count,estimated_tokens,repetition_factor,mode
20260522_165338,patient_36,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:08.941544,1,1949,488,5,constant_length_control
20260522_165338,patient_36,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:12.032937,2,3980,995,10,constant_length_control
20260522_165338,patient_36,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:15.395425,3,6297,1575,16,constant_length_control
20260522_165338,patient_37,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:18.370552,1,434,109,1,constant_length_control
20260522_165338,patient_37,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:21.126058,1,2199,550,5,constant_length_control
20260522_165338,patient_37,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:25.009722,2,4402,1101,10,constant_length_control
20260522_165338,patient_37,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:28.784186,3,7074,1769,16,constant_length_control
20260522_165338,patient_38,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:31.502684,1,544,136,1,constant_length_control
20260522_165338,patient_38,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:35.876409,2,2772,693,5,constant_length_control
20260522_165338,patient_38,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:39.275805,3,5530,1383,10,constant_length_control
20260522_165338,patient_38,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:42.650356,4,8853,2214,16,constant_length_control
20260522_165338,patient_39,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:45.306063,1,366,92,1,constant_length_control
20260522_165338,patient_39,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:48.548224,1,1906,477,5,constant_length_control
20260522_165338,patient_39,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:50.600512,2,3745,937,10,constant_length_control
20260522_165338,patient_39,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:52.642430,3,5933,1484,16,constant_length_control
20260522_165338,patient_40,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:55.450688,1,498,125,1,constant_length_control
20260522_165338,patient_40,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:01:57.917256,2,2546,637,5,constant_length_control
20260522_165338,patient_40,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:00.254683,3,5055,1264,10,constant_length_control
20260522_165338,patient_40,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:03.384581,4,8040,2010,16,constant_length_control
20260522_165338,patient_41,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:07.086742,1,719,180,1,constant_length_control
20260522_165338,patient_41,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:12.366946,2,3695,924,5,constant_length_control
20260522_165338,patient_41,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:17.837250,3,7271,1818,10,constant_length_control
20260522_165338,patient_41,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:24.060901,5,11710,2928,16,constant_length_control
20260522_165338,patient_42,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:29.639656,1,541,136,1,constant_length_control
20260522_165338,patient_42,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:33.231834,2,2747,687,5,constant_length_control
20260522_165338,patient_42,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:36.715064,3,5544,1386,10,constant_length_control
20260522_165338,patient_42,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:40.330899,4,8786,2197,16,constant_length_control
20260522_165338,patient_43,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:43.175872,1,578,145,1,constant_length_control
20260522_165338,patient_43,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:46.380619,2,2997,750,5,constant_length_control
20260522_165338,patient_43,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:49.470100,3,5838,1460,10,constant_length_control
20260522_165338,patient_43,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:52.647125,4,9377,2345,16,constant_length_control
20260522_165338,patient_44,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:55.925321,1,391,98,1,constant_length_control
20260522_165338,patient_44,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:02:58.199643,1,2057,515,5,constant_length_control
20260522_165338,patient_44,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:00.510849,2,3972,993,10,constant_length_control
20260522_165338,patient_44,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:02.651478,3,6366,1592,16,constant_length_control
20260522_165338,patient_45,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:04.600265,1,500,125,1,constant_length_control
20260522_165338,patient_45,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:07.254736,2,2530,633,5,constant_length_control
20260522_165338,patient_45,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:10.390044,3,5107,1277,10,constant_length_control
20260522_165338,patient_45,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:16.304091,4,8162,2041,16,constant_length_control
20260522_165338,patient_46,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:22.018980,1,387,97,1,constant_length_control
20260522_165338,patient_46,5,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:24.326383,1,2045,512,5,constant_length_control
20260522_165338,patient_46,10,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:26.723594,2,3976,994,10,constant_length_control
20260522_165338,patient_46,16,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:29.203928,3,6281,1571,16,constant_length_control
20260522_165338,patient_47,1,1,meta-llama/Meta-Llama-3.1-8B-Instruct,2026-05-22T17:03:31.901326,1,434,109,1,constant_length_control
